"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
1;1;"Электронное";222;"Без вступительных испытаний";10;"Участвуете в конкурсе";977703;"20.06.2026 в 17:22"
2;5;"—";281;"100 90 81";10;"Участвуете в конкурсе";1773730;"07.07.2026 в 15:19"
3;2;"—";271;"98 92 81";0;"На рассмотрении";1128986;"25.06.2026 в 18:06"
4;1;"—";269;"90 88 81";10;"На рассмотрении";1574101;"03.07.2026 в 18:50"
5;4;"—";262;"90 84 78";10;"Участвуете в конкурсе";1371336;"10.07.2026 в 12:13"
6;3;"Электронное";259;"80 86 86";7;"Участвуете в конкурсе";1331128;"30.06.2026 в 15:16"
7;4;"Электронное";259;"88 88 73";10;"Конкурсная группа исключена";2152252;"16.07.2026 в 11:16"
8;2;"—";247;"86 78 73";10;"На рассмотрении";1355752;"17.07.2026 в 17:01"
9;2;"—";246;"86 78 75";7;"Участвуете в конкурсе";1266507;"29.06.2026 в 21:51"
10;1;"—";246;"74 84 78";10;"Участвуете в конкурсе";1605453;"04.07.2026 в 12:58"
11;2;"—";246;"79 82 75";10;"На рассмотрении";1630885;"05.07.2026 в 10:06"
12;2;"—";245;"82 86 75";2;"Участвуете в конкурсе";1646083;"09.07.2026 в 17:58"
13;3;"—";244;"73 80 89";2;"Участвуете в конкурсе";1977630;"11.07.2026 в 13:57"
14;1;"—";243;"79 84 78";2;"На рассмотрении";2204590;"17.07.2026 в 13:16"
15;3;"—";241;"80 82 69";10;"Участвуете в конкурсе";1619514;"04.07.2026 в 18:13"
16;1;"—";241;"73 86 72";10;"Участвуете в конкурсе";1781500;"07.07.2026 в 16:54"
17;2;"—";239;"76 84 69";10;"Участвуете в конкурсе";1360415;"30.06.2026 в 21:22"
18;4;"—";239;"54 84 91";10;"На рассмотрении";1473655;"02.07.2026 в 12:32"
19;6;"—";236;"73 78 75";10;"Участвуете в конкурсе";1319555;"01.07.2026 в 09:37"
20;3;"—";234;"80 80 64";10;"На рассмотрении";1288694;"09.07.2026 в 11:27"
21;4;"—";232;"76 82 64";10;"Конкурсная группа исключена";1072291;"23.06.2026 в 18:42"
22;1;"—";231;"70 82 69";10;"На рассмотрении";1724940;"09.07.2026 в 11:14"
23;5;"—";228;"76 83 67";2;"Конкурсная группа исключена";1787824;"07.07.2026 в 18:58"
24;3;"Электронное";228;"79 76 69";4;"Участвуете в конкурсе";1377833;"01.07.2026 в 09:47"
25;5;"—";228;"73 82 63";10;"На рассмотрении";1680216;"06.07.2026 в 12:02"
26;2;"—";227;"74 78 73";2;"Участвуете в конкурсе";1087504;"12.07.2026 в 01:42"
27;1;"—";226;"68 84 72";2;"Участвуете в конкурсе";1252536;"29.06.2026 в 21:32"
28;1;"—";225;"71 74 70";10;"Участвуете в конкурсе";1352165;"30.06.2026 в 18:45"
29;3;"Электронное";225;"68 80 67";10;"Участвуете в конкурсе";1789810;"07.07.2026 в 19:44"
30;3;"—";224;"65 80 69";10;"На рассмотрении";1496395;"02.07.2026 в 16:05"
31;4;"Бумажное";224;"74 70 70";10;"Участвуете в конкурсе";2027647;"13.07.2026 в 12:54"
32;4;"Электронное";223;"66 86 71";0;"Участвуете в конкурсе";1053383;"23.06.2026 в 11:18"
33;4;"—";222;"84 84 52";2;"На рассмотрении";1628783;"17.07.2026 в 22:56"
34;3;"—";222;"70 78 64";10;"Участвуете в конкурсе";1348919;"30.06.2026 в 19:33"
35;1;"Бумажное";222;"56 70 86";10;"Участвуете в конкурсе";1375596;"01.07.2026 в 09:15"
36;4;"—";221;"56 74 81";10;"На рассмотрении";1426839;"01.07.2026 в 17:56"
37;4;"Бумажное";219;"65 72 72";10;"Участвуете в конкурсе";1526364;"03.07.2026 в 07:50"
38;1;"—";217;"68 84 63";2;"Участвуете в конкурсе";1143887;"05.07.2026 в 20:55"
39;3;"—";216;"74 82 60";0;"Участвуете в конкурсе";1564027;"03.07.2026 в 18:06"
40;2;"—";216;"71 78 57";10;"Участвуете в конкурсе";1071110;"01.07.2026 в 20:44"
41;1;"—";215;"62 78 73";2;"Участвуете в конкурсе";1200929;"07.07.2026 в 19:07"
42;1;"—";215;"64 80 69";2;"Участвуете в конкурсе";1928453;"10.07.2026 в 11:02"
43;2;"—";214;"56 70 78";10;"Участвуете в конкурсе";1660370;"10.07.2026 в 09:54"
44;1;"Бумажное";213;"63 92 58";0;"Участвуете в конкурсе";1767351;"07.07.2026 в 14:15"
45;4;"—";213;"56 74 83";0;"Конкурсная группа исключена";1846834;"08.07.2026 в 17:53"
46;2;"—";213;"54 76 81";2;"Участвуете в конкурсе";1049864;"24.06.2026 в 13:21"
47;3;"—";213;"80 74 57";2;"Участвуете в конкурсе";1289923;"04.07.2026 в 13:21"
48;5;"—";212;"70 80 60";2;"Участвуете в конкурсе";1708706;"06.07.2026 в 16:54"
49;4;"—";211;"53 70 81";7;"Участвуете в конкурсе";1281485;"01.07.2026 в 10:40"
50;5;"—";211;"65 64 72";10;"Участвуете в конкурсе";1399923;"10.07.2026 в 11:52"
51;1;"—";210;"65 74 69";2;"Участвуете в конкурсе";1577933;"03.07.2026 в 19:30"
52;1;"—";210;"71 72 57";10;"Участвуете в конкурсе";1593766;"04.07.2026 в 09:56"
53;1;"Бумажное";209;"59 70 70";10;"Участвуете в конкурсе";1220245;"29.06.2026 в 07:56"
54;1;"—";209;"64 72 63";10;"Участвуете в конкурсе";1310368;"30.06.2026 в 11:17"
55;2;"—";208;"64 70 72";2;"Участвуете в конкурсе";1259913;"29.06.2026 в 21:42"
56;2;"Бумажное";208;"68 64 66";10;"Участвуете в конкурсе";1374187;"01.07.2026 в 08:48"
57;3;"Электронное";208;"65 76 57";10;"Участвуете в конкурсе";1429514;"01.07.2026 в 18:41"
58;4;"—";205;"58 64 83";0;"Передано в вуз";2201644;"17.07.2026 в 12:32"
59;4;"Бумажное";205;"62 72 69";2;"Участвуете в конкурсе";1383136;"01.07.2026 в 10:46"
60;1;"—";205;"65 74 64";2;"Участвуете в конкурсе";1453079;"08.07.2026 в 11:56"
61;3;"—";205;"67 76 60";2;"Участвуете в конкурсе";1558525;"13.07.2026 в 18:08"
62;2;"—";205;"64 78 61";2;"Участвуете в конкурсе";2046948;"13.07.2026 в 17:50"
63;2;"—";204;"74 74 54";2;"Участвуете в конкурсе";1243654;"29.06.2026 в 21:22"
64;1;"—";203;"70 70 61";2;"Участвуете в конкурсе";1966712;"11.07.2026 в 08:38"
65;2;"—";201;"54 72 73";2;"Участвуете в конкурсе";1354383;"01.07.2026 в 16:09"
66;2;"—";201;"62 80 52";7;"Участвуете в конкурсе";1857376;"13.07.2026 в 22:14"
67;1;"—";200;"58 70 70";2;"Участвуете в конкурсе";1890442;"09.07.2026 в 14:28"
68;1;"Бумажное";200;"49 78 63";10;"Участвуете в конкурсе";1450650;"02.07.2026 в 07:47"
69;1;"—";200;"62 74 54";10;"Участвуете в конкурсе";1579147;"03.07.2026 в 20:01"
70;4;"—";199;"59 58 72";10;"Участвуете в конкурсе";1161681;"27.06.2026 в 09:35"
71;5;"—";199;"64 76 49";10;"На рассмотрении";1272154;"15.07.2026 в 16:01"
72;3;"Бумажное";198;"45 66 85";2;"Участвуете в конкурсе";947974;"20.06.2026 в 09:45"
73;2;"Бумажное";197;"73 70 52";2;"Участвуете в конкурсе";1936521;"10.07.2026 в 12:44"
74;1;"—";197;"44 84 67";2;"На рассмотрении";2131188;"15.07.2026 в 16:22"
75;3;"—";197;"48 82 57";10;"Участвуете в конкурсе";1643315;"05.07.2026 в 16:48"
76;4;"—";196;"62 74 60";0;"На рассмотрении";1299259;"30.06.2026 в 08:59"
77;3;"Электронное";196;"61 64 69";2;"Участвуете в конкурсе";1907035;"09.07.2026 в 19:10"
78;1;"Бумажное";196;"74 64 54";4;"На рассмотрении";2208961;"17.07.2026 в 14:18"
79;1;"—";196;"65 72 49";10;"Конкурсная группа исключена";1447342;"02.07.2026 в 14:52"
80;1;"—";196;"64 64 58";10;"Ожидаются результаты испытаний";1905619;"09.07.2026 в 18:31"
81;4;"—";194;"59 72 61";2;"Участвуете в конкурсе";1129949;"03.07.2026 в 19:02"
82;3;"—";194;"54 70 60";10;"На рассмотрении";1169324;"15.07.2026 в 13:34"
83;1;"—";194;"54 76 54";10;"На рассмотрении";1814258;"08.07.2026 в 11:13"
84;3;"—";191;"44 74 73";0;"Участвуете в конкурсе";1185331;"28.06.2026 в 09:40"
85;5;"—";191;"56 70 63";2;"Участвуете в конкурсе";1679129;"06.07.2026 в 11:49"
86;3;"Электронное";190;"59 64 57";10;"Участвуете в конкурсе";1437587;"01.07.2026 в 21:06"
87;2;"—";189;"58 74 55";2;"Участвуете в конкурсе";1472623;"02.07.2026 в 13:47"
88;2;"—";189;"54 70 63";2;"На рассмотрении";2220930;"17.07.2026 в 17:46"
89;5;"Бумажное";188;"59 72 55";2;"Участвуете в конкурсе";2060565;"14.07.2026 в 08:45"
90;5;"—";188;"53 64 61";10;"Участвуете в конкурсе";1073494;"24.06.2026 в 20:36"
91;2;"—";187;"64 64 49";10;"Участвуете в конкурсе";1247861;"06.07.2026 в 13:39"
92;3;"—";187;"46 70 61";10;"Участвуете в конкурсе";1306147;"08.07.2026 в 21:25"
93;3;"—";187;"64 58 55";10;"Участвуете в конкурсе";1759118;"07.07.2026 в 13:51"
94;4;"—";185;"49 70 64";2;"На рассмотрении";2155231;"16.07.2026 в 12:11"
95;1;"—";184;"48 72 64";0;"Участвуете в конкурсе";1532590;"04.07.2026 в 11:53"
96;5;"Бумажное";184;"48 64 70";2;"Участвуете в конкурсе";1943626;"10.07.2026 в 14:20"
97;4;"—";184;"54 64 64";2;"На рассмотрении";2220187;"17.07.2026 в 17:27"
98;5;"—";184;"49 70 55";10;"Участвуете в конкурсе";1586961;"04.07.2026 в 01:20"
99;4;"—";182;"56 64 52";10;"Участвуете в конкурсе";1842293;"08.07.2026 в 16:57"
100;1;"—";181;"51 72 58";0;"На рассмотрении";1337218;"30.06.2026 в 15:27"
101;5;"—";180;"51 58 61";10;"На рассмотрении";2208788;"17.07.2026 в 15:37"
102;1;"—";179;"54 72 51";2;"Участвуете в конкурсе";1265606;"29.06.2026 в 21:50"
103;2;"—";178;"51 64 61";2;"Участвуете в конкурсе";1833665;"08.07.2026 в 14:46"
104;3;"—";178;"61 64 51";2;"Участвуете в конкурсе";1971066;"11.07.2026 в 11:03"
105;3;"—";178;"54 70 52";2;"На рассмотрении";2203363;"17.07.2026 в 12:57"
106;1;"—";178;"46 58 64";10;"Участвуете в конкурсе";1323911;"05.07.2026 в 21:18"
107;2;"—";178;"56 52 60";10;"Конкурсная группа исключена";1432559;"01.07.2026 в 19:34"
108;3;"—";176;"61 64 49";2;"Участвуете в конкурсе";1481994;"02.07.2026 в 15:44"
109;4;"Бумажное";176;"43 40 83";10;"На рассмотрении";2079589;"14.07.2026 в 14:00"
110;2;"—";175;"48 70 55";2;"На рассмотрении";1211215;"17.07.2026 в 20:54"
111;1;"—";175;"48 70 55";2;"Участвуете в конкурсе";1612394;"04.07.2026 в 15:08"
